Departamento,Municipio,Programa,Año de Asignación,Estado de Postulación,Hogares,Valor Asignado
ATLANTICO,SOLEDAD,Programa de Vivienda Gratuita Fase I,2013,Renuncias al subsidio,1,40822875.00
ATLANTICO,SOLEDAD,Programa de Vivienda Gratuita Fase I,2013,Subsidio revocado mediante procedimiento Administrativo Sancionatorio,4,163291500.00
ATLANTICO,SOLEDAD,Programa de Vivienda Gratuita Fase I,2014,Asignados,909,37975099750.00
ATLANTICO,SOLEDAD,Programa de Vivienda Gratuita Fase I,2014,Subsidio revocado mediante procedimiento Administrativo Sancionatorio,3,126138875.00
ATLANTICO,SOLEDAD,Programa de Vivienda Gratuita Fase I,2015,Asignados,5,221626214.00
ATLANTICO,SOLEDAD,Programa de Vivienda Gratuita Fase I,2016,Asignados,1,44621238.00
ATLANTICO,SOLEDAD,Programa de Vivienda Gratuita Fase I,2017,Asignados,5,247383635.00
ATLANTICO,SOLEDAD,Programa de Vivienda Gratuita Fase I,2018,Asignados,1,54686940.00
ATLANTICO,SOLEDAD,Semillero de Propietarios Ahorro,2020,Asignados,1,5266818.00
ATLANTICO,SOLEDAD,Semillero de Propietarios Arriendo,2019,Asignados,12,149839788.00
ATLANTICO,SOLEDAD,Semillero de Propietarios Arriendo,2020,Asignados,15,185455230.00
ATLANTICO,SOLEDAD,Semillero de Propietarios Arriendo,2021,Asignados,1,13082760.00
ATLANTICO,SOLEDAD,Subsidios en Especie y complementarios,2005,Asignados,117,727884676.50
ATLANTICO,SOLEDAD,VIPA,2015,Asignados,185,3655179990.00
ATLANTICO,SOLEDAD,VIPA,2015,Perdida de ejecutoriedad de asignación de SFV,1,20683650.00
ATLANTICO,SOLEDAD,VIPA,2015,Renuncias al subsidio,7,144785550.00
ATLANTICO,SOLEDAD,VIPA,2016,Apto con subsidio vencido,3,62050950.00
ATLANTICO,SOLEDAD,VIPA,2016,Asignados,1449,29560383125.00
ATLANTICO,SOLEDAD,VIPA,2016,Perdida de ejecutoriedad de asignación de SFV,23,465382125.00
ATLANTICO,SOLEDAD,VIPA,2016,Renuncias al subsidio,90,1820161200.00
ATLANTICO,SOLEDAD,VIPA,2017,Apto con subsidio vencido,1,20683650.00
ATLANTICO,SOLEDAD,VIPA,2017,Asignados,689,14881129585.00
ATLANTICO,SOLEDAD,VIPA,2017,Perdida de ejecutoriedad de asignación de SFV,10,212076385.00
ATLANTICO,SOLEDAD,VIPA,2017,Renuncias al subsidio,88,1897380473.00
ATLANTICO,SOLEDAD,VIPA,2019,Asignados,31,770147880.00
ATLANTICO,SOLEDAD,VIPA,2020,Asignados,203,5043226440.00
ATLANTICO,SOLEDAD,VIPA,2020,Perdida de ejecutoriedad de asignación de SFV,1,24843480.00
ATLANTICO,SUAN,Bolsa Concejales,2009,Asignados,1,8447300.00
ATLANTICO,SUAN,Bolsa Esfuerzo Territorial,2006,Asignados,100,801100000.00
ATLANTICO,SUAN,Bolsa Esfuerzo Territorial,2008,Asignados,55,500168500.00
ATLANTICO,SUAN,Bolsa Esfuerzo Territorial,2010,Asignados,2,20309860.00
ATLANTICO,SUAN,Programa de Vivienda Gratuita Fase I,2015,Asignados,165,6804336000.00
ATLANTICO,SUAN,Programa de Vivienda Gratuita Fase I,2016,Asignados,135,5567184000.00
ATLANTICO,TUBARA,Bolsa Desplazados,2008,Asignados,1,14907000.00
ATLANTICO,TUBARA,Bolsa Saludable,2008,Apto con subsidio vencido,2,7290500.00
ATLANTICO,TUBARA,Bolsa Saludable,2008,Asignados,64,233551800.00
ATLANTICO,TUBARA,Bolsa Saludable,2008,Restitucion de subsidios no aplicados,3,10890750.00
ATLANTICO,USIACURI,Bolsa Ordinaria,2005,Apto con subsidio vencido,32,256368000.00
BOGOTA D. C.,BOGOTA,Ahorro Programado Contractual,2009,Apto con subsidio vencido,900,6289775241.00
BOGOTA D. C.,BOGOTA,Ahorro Programado Contractual,2009,Asignados,309,2162989130.00
BOGOTA D. C.,BOGOTA,Ahorro Programado Contractual,2009,Renuncia al Subsidio - Pendiente de Restitución,37,255599780.00
BOGOTA D. C.,BOGOTA,Ahorro Programado Contractual,2009,Renuncia con restitucion de subsidio,29,197778770.00
BOGOTA D. C.,BOGOTA,Ahorro Programado Contractual,2009,Renuncias al subsidio,47,333649480.00
BOGOTA D. C.,BOGOTA,Ahorro Programado Contractual,2009,Subsidio Revocado,1,7105670.00
BOGOTA D. C.,BOGOTA,Ahorro Programado Contractual,2010,Apto con subsidio vencido,394,3921450036.00
BOGOTA D. C.,BOGOTA,Ahorro Programado Contractual,2010,Asignados,221,2287710210.00
BOGOTA D. C.,BOGOTA,Ahorro Programado Contractual,2010,Renuncia al Subsidio - Pendiente de Restitución,63,642031682.00
BOGOTA D. C.,BOGOTA,Ahorro Programado Contractual,2010,Renuncia con restitucion de subsidio,26,272324260.00
BOGOTA D. C.,BOGOTA,Ahorro Programado Contractual,2010,Renuncias al subsidio,6,57527774.00
BOGOTA D. C.,BOGOTA,Ahorro Programado Contractual,2011,Apto con subsidio vencido,2137,21272070746.00
BOGOTA D. C.,BOGOTA,Ahorro Programado Contractual,2011,Asignados,1432,14262429840.00
BOGOTA D. C.,BOGOTA,Ahorro Programado Contractual,2011,Renuncia al Subsidio - Pendiente de Restitución,247,2482638592.00
BOGOTA D. C.,BOGOTA,Ahorro Programado Contractual,2011,Renuncia con restitucion de subsidio,147,1403420497.00
BOGOTA D. C.,BOGOTA,Ahorro Programado Contractual,2012,Apto con subsidio vencido,796,8525488316.00
BOGOTA D. C.,BOGOTA,Ahorro Programado Contractual,2012,Asignados,555,5921145338.00
BOGOTA D. C.,BOGOTA,Ahorro Programado Contractual,2012,Renuncia al Subsidio - Pendiente de Restitución,129,1343920222.00
BOGOTA D. C.,BOGOTA,Ahorro Programado Contractual,2012,Renuncia con restitucion de subsidio,30,318021323.00
BOGOTA D. C.,BOGOTA,Ahorro Programado Contractual,2013,Asignados,2,19105670.00
BOGOTA D. C.,BOGOTA,Bolsa Atentados terroristas,2003,Asignados,2,15272000.00
BOGOTA D. C.,BOGOTA,Bolsa Atentados terroristas,2005,Asignados,8,47814474.00
BOGOTA D. C.,BOGOTA,Bolsa Atentados terroristas,2005,Restitución SFV por Vencimiento Vigencia,1,8011500.00
BOGOTA D. C.,BOGOTA,Bolsa Atentados terroristas,2006,Asignados,6,49727000.00
BOGOTA D. C.,BOGOTA,Bolsa Atentados terroristas,2007,Asignados,3,25704000.00
BOGOTA D. C.,BOGOTA,Bolsa Atentados terroristas,2007,Restitución SFV por Vencimiento Vigencia,1,5666948.90
BOGOTA D. C.,BOGOTA,Bolsa Atentados terroristas,2008,Restitución SFV por Vencimiento Vigencia,1,10100000.00
BOGOTA D. C.,BOGOTA,Bolsa Atentados terroristas,2020,Asignados,1,18433863.00
BOGOTA D. C.,BOGOTA,Bolsa Concejales,2009,Apto con subsidio vencido,1,10931800.00
BOGOTA D. C.,BOGOTA,Bolsa Concejales,2009,Asignados,2,17789881.00
BOGOTA D. C.,BOGOTA,Bolsa Concejales,2009,Renuncia con restitucion de subsidio,1,10434900.00
BOGOTA D. C.,BOGOTA,Bolsa Concejales,2009,Restitución SFV por Vencimiento Vigencia,2,16149250.00
BOGOTA D. C.,BOGOTA,Bolsa Concejales,2010,Apto con subsidio vencido,2,21115000.00
BOGOTA D. C.,BOGOTA,Bolsa Concejales,2010,Asignados,1,11330000.00
BOGOTA D. C.,BOGOTA,Bolsa Concejales,2011,Apto con subsidio vencido,1,11141409.00
BOGOTA D. C.,BOGOTA,Bolsa Concejales,2011,Asignados,1,11247600.00
BOGOTA D. C.,BOGOTA,Bolsa Desastres Naturales,2003,Apto con subsidio vencido,28,213808000.00
BOGOTA D. C.,BOGOTA,Bolsa Desastres Naturales,2003,Asignados,507,3869127400.00
BOGOTA D. C.,BOGOTA,Bolsa Desastres Naturales,2003,Renuncias al subsidio,5,38180000.00
BOGOTA D. C.,BOGOTA,Bolsa Desastres Naturales,2003,Restitucion de subsidios no aplicados,1,7636000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2003,Apto con subsidio vencido,64,488704000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2003,Asignados,118,903126000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2003,Renuncia a la postulación,2,15272000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2003,Renuncias al subsidio,14,106904000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2004,Asignado con aplicación en Vivienda Gratuita,10,131199000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2004,Asignado posteriormente beneficiario de Vivienda Gratuita,1,4475000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2004,Asignados,1115,7545092000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2004,Renuncia con restitucion de subsidio,10,59657000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2004,Subsidio Revocado,1,14907000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2005,Asignado con aplicación en Vivienda Gratuita,12,172927000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2005,Asignado posteriormente beneficiario de Vivienda Gratuita,1,4475000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2005,Asignados,487,4276841925.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2005,Perdida de ejecutoriedad de asignación de SFV,1,8950000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2005,Renuncia con restitucion de subsidio,7,68607000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2005,Renuncias al subsidio,2,13425000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2006,Apto con subsidio vencido,1,10200000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2006,Asignado con aplicación en Vivienda Gratuita,29,413475000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2006,Asignados,986,10449176010.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2006,Renuncia con restitucion de subsidio,13,145935000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2006,Restitución SFV por Indemnización,1,10200000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2007,Asignado con aplicación en Vivienda Gratuita,44,627456500.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2007,Asignados,1369,13384537790.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2007,Perdida de ejecutoriedad de asignación de SFV,9,100290250.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2007,Renuncia con restitucion de subsidio,11,119261750.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2007,Restitución SFV Cobro Directo Fiduciaria,1,10842500.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2007,Subsidio Revocado,4,51499000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2008,Asignado con aplicación en Vivienda Gratuita,102,1470653500.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2008,Asignados,868,10741869750.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2008,Renuncia con restitucion de subsidio,14,164521000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2008,Subsidio Revocado,3,35140250.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2008,Subsidio Revocado y Asignado  en otra resolucion,1,18276500.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2009,Apto con subsidio vencido,1,14907000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2009,Asignado con aplicación en Vivienda Gratuita,95,1397531250.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2009,Asignados,415,6091656250.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2009,Renuncia al Subsidio - Pendiente de Restitución,1,8695750.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2009,Renuncia con restitucion de subsidio,8,93168750.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2009,Subsidio Revocado y Asignado  en otra resolucion,1,11537500.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2010,Apto con subsidio vencido,21,319975000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2010,Asignado con aplicación en Vivienda Gratuita,467,7105712500.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2010,Asignados,1231,18758875000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2010,Perdida de ejecutoriedad de asignación de SFV,4,61800000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2010,Renuncia con restitucion de subsidio,26,401700000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2010,Renuncias al subsidio,3,46350000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2010,Subsidio Revocado,4,61800000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2011,Asignado con aplicación en Vivienda Gratuita,114,1811667000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2011,Asignados,246,3911397000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2011,Renuncia con restitucion de subsidio,9,144612000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2011,Renuncias al subsidio,4,64272000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2011,Subsidio Revocado,2,32136000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2012,Asignado con aplicación en Vivienda Gratuita,7,119007000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2012,Asignados,5,81903000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2012,Subsidio Revocado,1,17001000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2013,Apto con subsidio vencido,1,17685000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2013,Asignado con aplicación en Vivienda Gratuita,4,63371250.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2013,Asignados,8,137010000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2014,Asignado con aplicación en Vivienda Gratuita,1,18480000.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2014,Asignados,9,158682500.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2015,Asignado con aplicación en Vivienda Gratuita,1,19330500.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2015,Asignados,10,189424500.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2016,Asignados,12,232628235.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2016,Renuncias al subsidio,1,20683650.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2017,Asignados,8,205560760.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2017,Renuncia con restitucion de subsidio,1,22131510.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2018,Asignados,2,41122260.00
BOGOTA D. C.,BOGOTA,Bolsa Desplazados,2019,Asignados,2,73418120.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2003,Apto con subsidio vencido,361,2025052087.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2003,Asignados,1797,11513607166.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2003,Renuncia a la postulación,3,19158000.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2003,Renuncia con restitucion de subsidio,2,12051000.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2003,Renuncias al subsidio,549,3040828600.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2003,Restitución SFV Cobro Directo Fiduciaria,2,15272000.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2003,Restitución SFV por Indemnización,181,1307150000.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2004,Apto con subsidio vencido,636,4574614000.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2004,Asignados,1868,13002388697.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2004,Renuncia a la postulación,4,30072000.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2004,Renuncia con restitucion de subsidio,46,341890000.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2004,Renuncias al subsidio,656,4659822000.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2004,Restitucion de subsidios no aplicados,25,187950000.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2004,Restitución SFV Cobro Directo Fiduciaria,180,1347870000.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2004,Restitución SFV por Indemnización,28,210504000.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2005,Apto con subsidio vencido,215,1714461000.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2005,Asignados,609,4768291500.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2005,Renuncia a la postulación,1,8011500.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2005,Renuncia con restitucion de subsidio,1,8011500.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2005,Renuncias al subsidio,215,1706449500.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2005,Restitucion de subsidios no aplicados,1,8011500.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2006,Apto con subsidio vencido,10,80115000.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2006,Asignados,32,245686000.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2006,Renuncias al subsidio,12,85456000.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2006,Restitucion de subsidios no aplicados,1,8011500.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2008,Asignados,142,1262874866.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2008,Renuncia con restitucion de subsidio,67,552533800.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2008,Renuncias al subsidio,17,121436000.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2008,Restitución SFV por Vencimiento Vigencia,124,1077744500.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2009,Apto con subsidio vencido,2,18215400.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2009,Asignados,3,25717400.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2009,Renuncia con restitucion de subsidio,2,18215400.00
BOGOTA D. C.,BOGOTA,Bolsa Ordinaria,2009,Restitución SFV por Vencimiento Vigencia,1,9107700.00
BOGOTA D. C.,BOGOTA,Bolsa Recicladores,2009,Asignados,9,93914100.00
BOGOTA D. C.,BOGOTA,Bolsa Recicladores,2009,Renuncia con restitucion de subsidio,2,21863600.00
BOGOTA D. C.,BOGOTA,Bolsa Recicladores,2009,Renuncias al subsidio,1,10931800.00
BOGOTA D. C.,BOGOTA,Bolsa Recicladores,2009,Restitución SFV por Vencimiento Vigencia,10,108572650.00
BOGOTA D. C.,BOGOTA,Bolsa Recicladores,2010,Apto con subsidio vencido,2,22660000.00
BOGOTA D. C.,BOGOTA,Bolsa Única Mejoramiento,2007,Asignados,21,104738550.00
BOGOTA D. C.,BOGOTA,Bolsa Única Mejoramiento,2007,Renuncia con restitucion de subsidio,5,24937750.00
BOGOTA D. C.,BOGOTA,Bolsa Única Mejoramiento,2007,Restitución SFV por Vencimiento Vigencia,4,19950200.00
BOGOTA D. C.,BOGOTA,MI CASA YA,2016,Apto con subsidio vencido,3,30336020.00
BOGOTA D. C.,BOGOTA,MI CASA YA,2016,Asignados,35,421946460.00
BOGOTA D. C.,BOGOTA,MI CASA YA,2017,Apto con subsidio vencido,14,215413364.00
BOGOTA D. C.,BOGOTA,MI CASA YA,2017,Asignados,350,5436974290.00
BOGOTA D. C.,BOGOTA,MI CASA YA,2017,Renuncias al subsidio,15,244922044.00
BOGOTA D. C.,BOGOTA,MI CASA YA,2018,Asignados,1166,23499759360.00
BOGOTA D. C.,BOGOTA,MI CASA YA,2018,Renuncia con restitucion de subsidio,2,39062100.00
BOGOTA D. C.,BOGOTA,MI CASA YA,2018,Renuncias al subsidio,41,796866840.00
BOGOTA D. C.,BOGOTA,MI CASA YA,2019,Asignados,1185,25669721040.00
BOGOTA D. C.,BOGOTA,MI CASA YA,2019,Renuncia con restitucion de subsidio,5,107655080.00
BOGOTA D. C.,BOGOTA,MI CASA YA,2019,Renuncias al subsidio,22,472026120.00
BOGOTA D. C.,BOGOTA,MI CASA YA,2020,Asignados,2389,44104632050.00
BOGOTA D. C.,BOGOTA,MI CASA YA,2020,Renuncia con restitucion de subsidio,2,52668180.00
BOGOTA D. C.,BOGOTA,MI CASA YA,2020,Renuncias al subsidio,26,570571950.00
BOGOTA D. C.,BOGOTA,MI CASA YA,2021,Asignados,895,16761076830.00
BOGOTA D. C.,BOGOTA,Programa de Vivienda Gratuita Fase I,2008,Asignados,1,14907000.00
BOGOTA D. C.,BOGOTA,Programa de Vivienda Gratuita Fase I,2010,Asignados,2,30900000.00
BOGOTA D. C.,BOGOTA,Programa de Vivienda Gratuita Fase I,2011,Asignados,14,218257000.00
BOGOTA D. C.,BOGOTA,Programa de Vivienda Gratuita Fase I,2012,Apto con subsidio vencido,5,198345000.00
BOGOTA D. C.,BOGOTA,Programa de Vivienda Gratuita Fase I,2012,Asignados,8,317352000.00
BOGOTA D. C.,BOGOTA,Programa de Vivienda Gratuita Fase I,2013,Apto con subsidio vencido,10,412650000.00
BOGOTA D. C.,BOGOTA,Programa de Vivienda Gratuita Fase I,2013,Asignados,87,2487417000.00
BOGOTA D. C.,BOGOTA,Programa de Vivienda Gratuita Fase I,2013,Renuncias al subsidio,1,26358000.00
BOGOTA D. C.,BOGOTA,Programa de Vivienda Gratuita Fase I,2014,Apto con subsidio vencido,2,86240000.00
BOGOTA D. C.,BOGOTA,Programa de Vivienda Gratuita Fase I,2014,Asignados,1311,46985440000.00
BOGOTA D. C.,BOGOTA,Programa de Vivienda Gratuita Fase I,2014,Renuncias al subsidio,1,27052000.00
BOGOTA D. C.,BOGOTA,Programa de Vivienda Gratuita Fase I,2014,Subsidio revocado mediante procedimiento Administrativo Sancionatorio,1,38192000.00
BOGOTA D. C.,BOGOTA,Programa de Vivienda Gratuita Fase I,2015,Asignados,1597,52020172350.00
BOGOTA D. C.,BOGOTA,Programa de Vivienda Gratuita Fase I,2015,Renuncias al subsidio,16,611669300.00
BOGOTA D. C.,BOGOTA,Programa de Vivienda Gratuita Fase I,2016,Asignados,524,17356488101.00
BOGOTA D. C.,BOGOTA,Programa de Vivienda Gratuita Fase I,2016,Renuncias al subsidio,3,110705200.00
BOGOTA D. C.,BOGOTA,Programa de Vivienda Gratuita Fase I,2016,Subsidio revocado mediante procedimiento Administrativo Sancionatorio,1,39949700.00
BOGOTA D. C.,BOGOTA,Programa de Vivienda Gratuita Fase I,2017,Asignados,36,1835665860.00
BOGOTA D. C.,BOGOTA,Programa de Vivienda Gratuita Fase I,2018,Asignados,16,860253800.00
BOGOTA D. C.,BOGOTA,Programa de Vivienda Gratuita Fase I,2019,Asignados,1,57968120.00
BOGOTA D. C.,BOGOTA,Semillero de Propietarios Ahorro,2020,Asignados,38,200139084.00
BOGOTA D. C.,BOGOTA,Semillero de Propietarios Ahorro,2021,Asignados,2,10902312.00
BOGOTA D. C.,BOGOTA,Semillero de Propietarios Arriendo,2019,Asignados,159,1991041269.00
BOGOTA D. C.,BOGOTA,Semillero de Propietarios Arriendo,2019,Renuncias al subsidio,1,11924856.00
BOGOTA D. C.,BOGOTA,Semillero de Propietarios Arriendo,2020,Asignados,402,5069747218.00
BOGOTA D. C.,BOGOTA,Semillero de Propietarios Arriendo,2020,Renuncias al subsidio,3,37921032.00
BOGOTA D. C.,BOGOTA,Semillero de Propietarios Arriendo,2021,Asignados,93,1187836392.00
BOGOTA D. C.,BOGOTA,Sin clasificación,2003,Apto con subsidio vencido,25,190900000.00
BOGOTA D. C.,BOGOTA,Sin clasificación,2003,Asignados,9,68724000.00
BOGOTA D. C.,BOGOTA,Sin clasificación,2003,Renuncias al subsidio,4,30544000.00
BOGOTA D. C.,BOGOTA,Sin clasificación,2004,Asignados,7,39508000.00
BOGOTA D. C.,BOGOTA,Sin clasificación,2004,Renuncias al subsidio,9,52456000.00
BOGOTA D. C.,BOGOTA,VIPA,2015,Apto con subsidio vencido,1,20683650.00
BOGOTA D. C.,BOGOTA,VIPA,2015,Asignados,2272,42263975357.00
BOGOTA D. C.,BOGOTA,VIPA,2015,Renuncias al subsidio,14,254183220.00
BOGOTA D. C.,BOGOTA,VIPA,2016,Asignados,966,19144418350.00
BOGOTA D. C.,BOGOTA,VIPA,2016,Perdida de ejecutoriedad de asignación de SFV,4,79287325.00
BOGOTA D. C.,BOGOTA,VIPA,2016,Renuncias al subsidio,17,317149300.00
BOGOTA D. C.,BOGOTA,VIPA,2017,Apto con subsidio vencido,5,106968965.00
BOGOTA D. C.,BOGOTA,VIPA,2017,Asignados,4550,97910797496.00
BOGOTA D. C.,BOGOTA,VIPA,2017,Perdida de ejecutoriedad de asignación de SFV,11,243446610.00
BOGOTA D. C.,BOGOTA,VIPA,2017,Renuncias al subsidio,153,3253331970.00
BOGOTA D. C.,BOGOTA,VIPA,2018,Asignados,1169,27029354365.00
BOGOTA D. C.,BOGOTA,VIPA,2018,Perdida de ejecutoriedad de asignación de SFV,9,210935340.00
BOGOTA D. C.,BOGOTA,VIPA,2018,Renuncias al subsidio,1,23437260.00
BOGOTA D. C.,BOGOTA,VIPA,2019,Asignados,203,4649548199.00
BOGOTA D. C.,BOGOTA,VIPA,2019,Perdida de ejecutoriedad de asignación de SFV,8,187498080.00
BOGOTA D. C.,BOGOTA,VIPA,2019,Renuncias al subsidio,7,143904740.00
BOGOTA D. C.,BOGOTA,VIPA,2020,Asignados,24,550775610.00
BOGOTA D. C.,BOGOTA,VIPA,2020,Perdida de ejecutoriedad de asignación de SFV,1,23437260.00
BOGOTA D. C.,BOGOTA,VIVIENDA GRATUITA,2015,Asignados,1,39949700.00
BOGOTA D. C.,BOGOTA,VIVIENDA GRATUITA,2016,Subsidio Revocado,1,39949700.00
BOLIVAR,ACHI,Bolsa Concejales,2008,Asignados,3,30459000.00
BOLIVAR,ACHI,Bolsa Concejales,2008,Restitución SFV por Vencimiento Vigencia,2,20306000.00
BOLIVAR,ACHI,Bolsa Concejales,2009,Asignados,1,10683350.00
BOLIVAR,ACHI,Bolsa Concejales,2009,Restitución SFV por Vencimiento Vigencia,1,10434900.00
BOLIVAR,ACHI,Bolsa Concejales,2011,Asignados,1,11783200.00
BOLIVAR,ACHI,Bolsa Desastres Naturales,2006,Apto con subsidio vencido,23,197064000.00
BOLIVAR,ACHI,Bolsa Desastres Naturales,2006,Restitucion de subsidios no aplicados,8,68544000.00
BOLIVAR,ACHI,Bolsa Desplazados,2007,Asignado con aplicación en Vivienda Gratuita,1,8695750.00
BOLIVAR,ACHI,Bolsa Desplazados,2008,Asignados,1,11537500.00
BOLIVAR,ACHI,Bolsa Desplazados,2009,Asignados,6,89442000.00
BOLIVAR,ACHI,Bolsa Desplazados,2010,Asignados,1,15450000.00
BOLIVAR,ACHI,Bolsa Ordinaria,2005,Apto con subsidio vencido,2,15993000.00
BOLIVAR,ACHI,Bolsa Ordinaria,2005,Restitución SFV por Indemnización,40,319644250.00
BOLIVAR,ACHI,Bolsa Ordinaria,2008,Restitución SFV por Vencimiento Vigencia,2,18214000.00
BOLIVAR,ACHI,Programa de Vivienda Gratuita Fase I,2008,Asignados,1,14907000.00
BOLIVAR,ALTOS DEL ROSARIO,Bolsa Concejales,2008,Apto con subsidio vencido,2,20306000.00
BOLIVAR,ALTOS DEL ROSARIO,Bolsa Concejales,2008,Restitución SFV por Vencimiento Vigencia,1,10153000.00
